Brand,Shirt Name,Original Price,Discount,Price After Discount,Ratings
PUMA,Men Solid Polo Neck Pure Cotton Blue T-Shirt,"₹1,699",65% off,₹589,4
TECHNOSPORT,Men Solid Round Neck Polyester White T-Shirt,₹299,N/A,₹298,4.2
Allen Solly,Men Solid Polo Neck Cotton Blend Red T-Shirt,"₹1,099",60% off,₹439,4.1
NB NICKY BOY,Men Printed Round Neck Cotton Blend Pink T-Shirt,₹666,70% off,₹199,4
TRIPR,Men Colorblock V Neck Cotton Blend Green T-Shirt,"₹1,999",88% off,₹239,4
AUSK,Men Self Design Round Neck Polyester Dark Blue T-Shirt,"₹1,499",82% off,₹269,3.7
N/A,N/A,N/A,N/A,N/A,No Rating
WROGN,Men Solid Polo Neck Pure Cotton Black T-Shirt,"₹1,199",58% off,₹499,4.1
AUSK,"Men Colorblock Polo Neck Cotton Blend Red, Black, White T-Shirt","₹1,499",80% off,₹299,3.8
TRIPR,Men Colorblock V Neck Cotton Blend Navy Blue T-Shirt,"₹1,999",88% off,₹229,4
AUSK,"Men Printed Round Neck Cotton Blend White, Blue, Grey T-Shirt",₹999,80% off,₹199,4
JUGULAR,Men Printed Round Neck Pure Cotton Black T-Shirt,₹888,73% off,₹239,4
